user,friend,community,community_id,groundtruthcommunity
1,1998,Accessory Junkies,5001,LifeStyle
2,1998,Acoustic Music Jam Sessions,5002,Music
3,1997,Acoustic Music Performances,5003,Music
4,1997,Actors' Guild,5004,Entertainment
5,1996,Adventure Racing Team,5005,Fun
6,1996,Adventure Seekers,5006,Fun
7,1994,Adventure Travel Experiences,5007,Fun
8,1991,Adventure Travel Group,5008,Fun
9,1989,Adventure Travelers,5009,Fun
10,1988,AI and Machine Learning,5010,Computer Science
11,1987,AI and Machine Learning Conferences,5011,Computer Science
12,1987,AI and Robotics Research,5012,Computer Science
13,1986,AI Enthusiasts,5013,Computer Science
14,1986,Amateur Astronomers,5014,Astronomy
15,1985,Animal Lovers,5015,Veterinary
16,1983,Animal Photography Club,5016,Veterinary
17,1982,Animal Rescue Heroes,5017,Veterinary
18,1980,Animal Rescue Network,5018,Veterinary
19,1979,Animal Rights Awareness Campaigns,5019,Veterinary
20,1978,Animal Rights Awareness Events and Campaigns,5020,Veterinary
21,1975,Animal Sanctuary Volunteers,5021,Veterinary
22,1974,Animal Shelter Volunteers,5022,Veterinary
23,1974,Animal Welfare Volunteers,5023,Veterinary
24,1973,Anime Addicts,5024,Cartoons
25,1971,Anime and Manga Lovers,5025,Cartoons
26,1969,App Developers Alliance,5026,Computer Science
27,1969,App Developers Forum,5027,Computer Science
28,1968,App Development,5028,Computer Science
29,1968,App Development Bootcamps,5029,Computer Science
30,1966,App Development Courses,5030,Computer Science
31,1963,App Development Hackathons,5031,Computer Science
32,1961,Aquarium Hobbyists,5032,Veterinary
33,1961,Arabic Language Hub,5033,Extracurricular
34,1961,Archaeology Enthusiasts,5034,Fun
35,1961,Architectural Photography,5035,Fun
36,1959,Architectural Tours,5036,Fun
37,1958,Architecture Admirers,5037,Fun
38,1957,Art Aficionados,5038,Arts
39,1955,Art Enthusiasts,5039,Arts
40,1954,Art Therapy Group,5040,Arts
41,1953,Artisans and Craftspeople,5041,Arts
42,1952,Artistic Expressions,5042,Entertainment
43,1951,Astral Projection Society,5043,Spiritual
44,1951,Astrology Enthusiasts,5044,Astronomy
45,1950,Astronomy and Astrophysics,5045,Astronomy
46,1948,Astronomy Club,5046,Astronomy
47,1945,Atheist and Agnostic Thinkers,5047,Religious
48,1943,Augmented Reality (AR) Collective,5048,Technology
49,1943,Automotive Technology,5049,Technology
50,1941,Baby Sign Language,5050,Extracurricular
51,1941,Babywearing Community,5051,Extracurricular
52,1939,Backpacking Buddies,5052,Extracurricular
53,1939,Backyard Gardening Club,5053,Extracurricular
54,1938,Backyard Gardening Tips,5054,Extracurricular
55,1937,Backyard Gardening Tips and Tricks Workshops,5055,Extracurricular
56,1937,Baking and Pastry Club,5056,Food
57,1934,Baking Brigade,5057,Food
58,1933,Basketball Coaching Clinics,5058,Sports
59,1930,Basketball Fanatics,5059,Sports
60,1928,Basketball Fans United,5060,Sports
61,1927,Basketball Pickup Games,5061,Sports
62,1925,Basketball Tournaments,5062,Sports
63,1923,BBQ Lovers Club,5063,Food
64,1922,Beach Bums,5064,Fun
65,1922,Beach Cleanup Drives,5065,Extracurricular
66,1922,Beach Cleanup Initiatives,5066,Extracurricular
67,1920,Beach Volleyball Club,5067,Sports
68,1918,Biohackers Lab,5068,Fun
69,1918,Bird Watchers Society,5069,Veterinary
70,1918,Bird Watching Society,5070,Veterinary
71,1917,Birdwatching and Ornithology,5071,Veterinary
72,1916,Birdwatching Excursions,5072,Fun
73,1916,Blended Families Together,5073,Spiritual
74,1915,Blockchain Builders,5074,Computer Science
75,1914,Blockchain Enthusiasts,5075,Computer Science
76,1914,Blockchain Technology Adoption,5076,Computer Science
77,1913,Blockchain Technology Seminars,5077,Computer Science
78,1912,Blockchain Technology Summits,5078,Computer Science
79,1912,Blog Monetization Strategies,5079,Extracurricular
80,1912,Blogging and Content Creation,5080,Extracurricular
81,1912,Blogging and Content Creation Workshops,5081,Extracurricular
82,1912,Blood Donors Guild,5082,Volunteers
83,1911,Bodybuilding Titans,5083,Sports
84,1910,Bonsai Tree Aficionados,5084,Nature Lovers
85,1909,Book Club,5085,Knowledge
86,1908,Bookworms Unite,5086,Knowledge
87,1907,Bookworms United,5087,Knowledge
88,1906,Breastfeeding Advocacy,5088,Awarness
89,1904,Bridge and Card Games,5089,Games
90,1904,Buddhist Meditation Group,5090,Spiritual
91,1903,Business Networking Group,5091,Bussiness
92,1902,Cactus and Succulent Collectors,5092,Nature Lovers
93,1896,Cake Decorating Classes and Workshops,5093,Food
94,1896,Cake Decorating Workshop,5094,Food
95,1894,Calligraphy and Hand Lettering,5095,Knowledge
96,1892,Calligraphy Workshops,5096,Knowledge
97,1891,Calligraphy Workshops and Practice Sessions,5097,Knowledge
98,1891,Camping and Hiking,5098,Fun
99,1890,Camping and Hiking Group,5099,Fun
100,1890,Car Enthusiasts,5100,Automobiles
101,1888,Car Enthusiasts Club,5101,Automobiles
102,888,Car Modification Crew,5102,Automobiles
103,1888,Car Racing Championships,5103,Sports
104,1887,Car Racing Championships and Track Days,5104,Sports
105,1887,Car Racing Enthusiasts,5105,Sports
106,1887,Car Rally Racing,5106,Sports
107,1886,Car Restoration Club,5107,Automobiles
108,1886,Carpenters' Guild,5108,Extracurricular
109,1885,Cat Care Tips,5109,Veterinary
110,1885,Cat Lovers Club,5110,Veterinary
111,1884,Cat Owners Club,5111,Automobiles
112,1881,Chess Coaching Sessions,5112,Games
113,1877,Chess Competitions,5113,Games
114,1876,Chess Masters,5114,Games
115,1874,Chess Open Tournaments,5115,Games
116,1874,Chess Puzzle Solving,5116,Games
117,1873,Chess Simultaneous Exhibition,5117,Games
118,1872,Chess Simultaneous Matches,5118,Games
119,1871,Chess Strategies and Tactics,5119,Games
120,1871,Chess Strategy Workshops,5120,Games
121,1870,Chess Tactics Workshop,5121,Games
122,1870,Chocolate Indulgence,5122,Food
123,1869,Christian Fellowship,5123,Religious
124,1867,Classic Car Collectors,5124,Automobiles
125,1867,Classic Car Exhibitions,5125,Automobiles
126,1865,Classic Car Restoration,5126,Automobiles
127,1865,Classic Car Shows,5127,Automobiles
128,1864,Classical Music Lovers,5128,Music
129,1864,Climate Change Activists,5129,Nature Lovers
130,1863,Cloud Computing Crew,5130,Computer Science
131,1863,Code Wizards,5131,Computer Science
132,1861,Coding Bootcamp Grads,5132,Computer Science
133,1861,Coding Bootcamps,5133,Computer Science
134,1860,Coding Challenges and Contests,5134,Computer Science
135,1860,Coding Ninjas,5135,Computer Science
136,1859,Coding Workshops and Meetups,5136,Computer Science
137,1858,Coffee Addicts,5137,Food
138,1858,Coffee and Conversations,5138,Food
139,1857,Coffee Appreciation Club,5139,Food
140,1857,Coffee Connoisseurs,5140,Food
141,1855,Coffee Cupping Sessions,5141,Food
142,1855,Coffee Roasting and Brewing,5142,Food
143,1855,Coffee Tasting Workshops,5143,Food
144,1853,Coin Collecting Society,5144,Fun
145,1850,Collectors' Corner,5145,Fun
146,1850,Comedy Club,5146,Entertainment
147,1849,Comic Book Artists Collective,5147,Cartoons
148,1848,Comic Book Enthusiasts,5148,Cartoons
149,1847,Comic Book Writing Workshops,5149,Cartoons
150,1846,Community Gardeners,5150,Nature Lovers
151,1846,Community Service Heroes,5151,Volunteers
152,1846,Contemporary Art Exhibitions,5152,Arts
153,1846,Contemporary Art Workshops,5153,Arts
154,1844,Contemporary Dance Classes,5154,Fitness
155,1843,Contemporary Dance Group,5155,Fitness
156,1843,Contemporary Sculpture Art,5156,Arts
157,1839,Cooking Classes,5157,Food
158,1838,Cooking Connoisseurs,5158,Food
159,1836,Cooking Masters,5159,Food
160,1836,Cosplay Community,5160,Entertainment
161,1833,Country Music Fans,5161,Music
162,1831,Courtroom Drama Fans,5162,Entertainment
163,1830,Craft Beer Brewing Workshops,5163,Food
164,1829,Craft Beer Connoisseurs,5164,Food
165,1827,Craft Beer Enthusiasts,5165,Food
166,1826,Craft Beer Tasting Events,5166,Food
167,1826,Craft Cocktail Making Classes,5167,Food
168,1826,Craft Cocktail Making Workshops,5168,Food
169,1824,Craft Cocktail Recipes,5169,Food
170,1824,Craft Cocktails and Mixology,5170,Food
171,1823,Creative Advertising,5171,Arts
172,1822,Creative Minds,5172,Arts
173,1819,Creative Writers Guild,5173,Arts
174,1818,Creative Writing Circle,5174,Arts
175,1817,Credit Score Improvement,5175,Bussiness
176,1815,Criminal Justice Reform,5176,Awarness
177,1814,CrossFit Competitions and Challenges,5177,Fitness
178,1812,CrossFit Training Group,5178,Fitness
179,1811,Cryptocurrency Education,5179,Knowledge
180,1810,Cryptocurrency Investors,5180,Knowledge
181,1808,Cryptocurrency Trading Seminars,5181,Knowledge
182,1808,Cryptocurrency Trading Workshops,5182,Knowledge
183,1806,Crystal Healing Circle,5183,Spiritual
184,1806,Culinary Delights,5184,Food
185,1805,Cultural Exchange Program,5185,Religious
186,1803,Cultural Heritage Society,5186,Religious
187,1803,Cultural Immersion,5187,Religious
188,1802,Cybersecurity Warriors,5188,Computer Science
189,1800,Cycling Adventures,5189,Computer Science
190,1799,Cycling Crew,5190,Sports
191,1799,Cycling Enthusiasts,5191,Sports
192,1799,Cycling Tours and Races,5192,Sports
193,1798,Daddy's Squad,5193,Miscellaneous
194,1797,Dance Fever,5194,Fitness
195,1796,Dance Fusion,5195,Fitness
196,1795,Dance Performers,5196,Fitness
197,1795,Dance Revolution,5197,Fitness
198,1795,Data Analytics Guild,5198,Computer Science
199,1791,Data Science and Analytics,5199,Computer Science
200,1790,Data Science Bootcamps,5200,Computer Science
201,1789,Data Science Conferences,5201,Computer Science
202,1789,Data Science Society,5202,Computer Science
203,1788,Data Scientists United,5203,Computer Science
204,1788,Dating Advice Group,5204,Awarness
205,1788,Deep-Sea Diving Courses,5205,Nature Lovers
206,1788,Deep-Sea Diving Expeditions,5206,Nature Lovers
207,1788,Deep-Sea Fishing Expeditions,5207,Nature Lovers
208,1788,Design Enthusiasts,5208,Knowledge
209,1787,Digital Art Competitions,5209,Arts
210,1787,Digital Art Exhibitions,5210,Arts
211,1786,Digital Art Exhibitions and Galleries,5211,Arts
212,1785,Digital Artists' Collective,5212,Arts
213,1785,Digital Explorers,5213,Arts
214,1782,Digital Illustrators' Group,5214,Arts
215,1782,Digital Marketing Experts,5215,Bussiness
216,1776,Digital Marketing Masters,5216,Bussiness
217,1776,Digital Marketing Workshops,5217,Bussiness
218,1775,Digital Nomads,5218,Arts
219,1774,Digital Painting Classes,5219,Arts
220,1773,Digital Painting Community,5220,Arts
221,1772,Digital Painting Workshops,5221,Arts
222,1769,Disaster Relief Efforts,5222,Volunteers
223,1765,Disc Golf Players Association,5223,Sports
224,1764,Disc Golf Tournaments,5224,Sports
225,1763,Divorce Recovery Circle,5225,Volunteers
226,1757,DIY Crafters,5226,Arts
227,1757,DIY Home Decor,5227,Arts
228,1755,DIY Masters,5228,Arts
229,1755,Dog Agility Training,5229,Veterinary
230,1752,Dog Breeders Association,5230,Veterinary
231,1752,Dog Lovers Community,5231,Veterinary
232,1752,Dog Lovers Society,5232,Veterinary
233,1751,Dog Training Tips,5233,Veterinary
234,1750,Dog Walking Group,5234,Veterinary
235,1749,Drawing and Sketching Club,5235,Arts
236,1748,Drawing and Sketching Workshops,5236,Arts
237,1746,Eco-Friendly Innovators,5237,Knowledge
238,1745,Eco-Friendly Living,5238,Knowledge
239,1745,E-commerce Empire,5239,Bussiness
240,1744,EDM Party Animals,5240,Music
241,1743,Elderly Care Support,5241,Volunteers
242,1743,Electric Vehicle Advocates,5242,Bussiness
243,1743,English Learners Society,5243,Knowledge
244,1743,Entrepreneurs Hub,5244,Bussiness
245,1741,Entrepreneurs League,5245,Bussiness
246,1740,Entrepreneurs' Network,5246,Bussiness
247,1740,Entrepreneurship Forums,5247,Bussiness
248,1740,Entrepreneurship Journey,5248,Bussiness
249,1738,Entrepreneurship Seminars,5249,Bussiness
250,1738,Entrepreneurship Workshops,5250,Bussiness
251,1738,Environmental Activists,5251,Nature Lovers
252,1737,Environmental Cleanup Crew,5252,Nature Lovers
253,1737,Environmental Education,5253,Awarness
254,1736,Ethical Fashion,5254,LifeStyle
255,1735,Exotic Animal Keepers,5255,Veterinary
256,1735,Extreme Sports Junkies,5256,Sports
257,1733,Fair Trade Fashion,5257,LifeStyle
258,1732,Fantasy Book Club,5258,Knowledge
259,1732,Fashion Bloggers,5259,LifeStyle
260,1732,Fashion Bloggers Community,5260,LifeStyle
261,1731,Fashion Design Competitions,5261,Arts
262,1729,Fashion Design Workshops,5262,Arts
263,1728,Fashion Designers Circle,5263,Arts
264,1728,Fashion Designers Guild,5264,Arts
265,1728,Fashion Entrepreneurs,5265,Bussiness
266,1727,Fashion Illustration,5266,Arts
267,1724,Fashion Modeling,5267,Arts
268,1724,Fashion Styling,5268,LifeStyle
269,1722,Fashion Styling Workshops,5269,Arts
270,1721,Fashion Stylists Association,5270,LifeStyle
271,1719,Fashion Stylists Guild,5271,LifeStyle
272,1719,Fashionistas Forever,5272,LifeStyle
273,1719,Fashionistas Unite,5273,LifeStyle
274,1718,Fiction Writers Guild,5274,Arts
275,1715,Fiction Writers' Society,5275,Arts
276,1715,Fiction Writing Contests,5276,Arts
277,1715,Fiction Writing Workshops,5277,Arts
278,1713,Fiction Writing Workshops and Critique Groups,5278,Arts
279,1713,Film Analysis Discussions,5279,Arts
280,1712,Film and Cinema,5280,Entertainment
281,1712,Film Appreciation Society,5281,Volunteers
282,1712,Film Buffs,5282,Entertainment
283,1711,Film Buffs Association,5283,Entertainment
284,1711,Film Critics Association,5284,Entertainment
285,1711,Film Directing Workshops,5285,Arts
286,1711,Film Fanatics,5286,Entertainment
287,1711,Film Festival Society,5287,Entertainment
288,1710,Film Festivals,5288,Entertainment
289,1709,Film Industry Network,5289,Bussiness
290,1706,Film Industry Networking,5290,Bussiness
291,1704,Film Industry Seminars,5291,Arts
292,1703,Film Production Club,5292,Bussiness
293,1703,Film Production Courses and Training,5293,Arts
294,1702,Film Production Workshops,5294,Arts
295,1702,Film Screenings and Discussions,5295,Arts
296,1701,Film Screenwriting Workshops,5296,Arts
297,1700,Filmmakers' Network,5297,Arts
298,1700,Filmmaking Collaborators,5298,Arts
299,1700,Financial Independence Journey,5299,Bussiness
300,1697,Fine Arts Appreciation,5300,Arts
301,1697,Fine Arts Exhibitions,5301,Arts
302,1697,Fine Arts Society,5302,Arts
303,1696,Fine Arts Workshops,5303,Arts
304,1694,Fishing Enthusiasts,5304,Fun
305,1691,Fitness Bootcamp Training,5305,Fitness
306,1691,Fitness Bootcamp Workouts,5306,Fitness
307,1691,Fitness Challenges,5307,Fitness
308,1690,Fitness Enthusiasts,5308,Fitness
309,1688,Fitness Fanatics,5309,Fitness
310,1686,Fitness Junkies,5310,Fitness
311,1685,Fitness Motivation,5311,Fitness
312,1684,Fitness Park Meetup,5312,Fitness
313,1684,Fitness Studio Members,5313,Fitness
314,1681,Flower Power Society,5314,Nature Lovers
315,1680,Food Bloggers,5315,Food
316,1679,Foodie Club,5316,Food
317,1679,Foodies Forever,5317,Food
318,1679,Foodies Paradise,5318,Food
319,1678,Football Fan Club,5319,Sports
320,1678,Football Leagues and Matches,5320,Sports
321,1677,Football Pickup Games,5321,Sports
322,1676,Football Tournaments,5322,Sports
323,1674,Freelance Networking Events,5323,Bussiness
324,1674,Freelance Writers,5324,Bussiness
325,1674,Freelancer Networking Events,5325,Bussiness
326,1671,Freelancer Networking Events and Meetups,5326,Bussiness
327,1670,Freelancers' Community,5327,Bussiness
328,1670,Freelancers Union,5328,Bussiness
329,1669,Freelancers United,5329,Bussiness
330,1667,French Conversation Circle,5330,Extracurricular
331,1666,Freshwater Fishing Competitions,5331,Fun
332,1666,Freshwater Fishing Enthusiasts,5332,Fun
333,1665,Freshwater Fishing Tournaments,5333,Fun
334,1663,Frugal Living Community,5334,Awarness
335,1663,Game Development,5335,Games
336,1663,Gamers United,5336,Games
337,1660,Gaming Clan,5337,Games
338,1658,Gaming Community,5338,Games
339,1658,Gaming Gurus,5339,Games
340,1658,Gaming Warriors,5340,Games
341,1657,Gardening Enthusiasts,5341,Nature Lovers
342,1657,Gardening Gurus,5342,Nature Lovers
343,1656,Genetics and Biotechnology,5343,Nature Lovers
344,1656,Gentle Parenting Circle,5344,Awarness
345,1655,German Speakers Community,5345,Extracurricular
346,1655,Giving Back Society,5346,Volunteers
347,1654,Glamour and Elegance,5347,LifeStyle
348,1654,Grandparents' Love,5348,Volunteers
349,1654,Graphic Design Guild,5349,Arts
350,1653,Graphic Designers,5350,Arts
351,1653,Green Building Council,5351,Bussiness
352,1652,Green Living Advocates,5352,Bussiness
353,1648,Green Living Collective,5353,Bussiness
354,1646,Gymaholics,5354,Fitness
355,1645,Hair Care Experts,5355,LifeStyle
356,1644,Harry Potter Fan Club,5356,Entertainment
357,1642,Health and Nutrition,5357,Fitness
358,1640,Health and Wellness,5358,Fitness
359,1639,Healthy Eaters,5359,Food
360,1637,Healthy Eating,5360,Fitness
361,1637,Healthy Living Community,5361,Fitness
362,1636,Herb and Spice Lovers,5362,Food
363,1635,Hiking and Camping Crew,5363,Fun
364,1635,Hiking and Mountaineering,5364,Fun
365,1634,Hiking and Trekking,5365,Fun
366,1633,Hiking and Trekking Adventures,5366,Fun
367,1633,Hindu Devotees Group,5367,Religious
368,1631,Historic Architecture Appreciation,5368,Arts
369,1631,Historical Preservation,5369,Arts
370,1623,History Buffs,5370,Arts
371,1622,Holistic Healing,5371,Spiritual
372,1621,Holistic Healing Practices,5372,Spiritual
373,1620,Holistic Healing Retreats,5373,Spiritual
374,1619,Holistic Healing Workshops,5374,Spiritual
375,1618,Holistic Health and Wellness,5375,Fitness
376,1617,Home Brewing,5376,Extracurricular
377,1612,Homeless Shelter Helpers,5377,Volunteers
378,1612,Homeschooling Network,5378,Bussiness
379,1610,Horoscope Predictions,5379,Extracurricular
380,1609,Horse Riders Network,5380,Sports
381,1607,Human Rights Advocacy,5381,Volunteers
382,1606,Humanitarian Aid Network,5382,Volunteers
383,1606,Hydroponic Gardening,5383,Nature Lovers
384,1603,Illustrators United,5384,Arts
385,1600,Improv Comedy Troupe,5385,Entertainment
386,1600,Independent Film Festivals,5386,Entertainment
387,1598,Independent Film Screenings,5387,Entertainment
388,1597,Independent Filmmakers,5388,Entertainment
389,1596,Independent Filmmaking Tips,5389,Entertainment
390,1596,Independent Music Labels,5390,Music
391,1593,Independent Music Releases,5391,Music
392,1591,Indie Filmmakers,5392,Entertainment
393,1591,Indie Music Artists,5393,Music
394,1590,Indie Music Concerts,5394,Music
395,1590,Indie Music Scene,5395,Music
396,1589,Indoor Plant Enthusiasts,5396,Nature Lovers
397,1587,Indoor Rock Climbing,5397,Fun
398,1587,Indoor Rock Climbing Competitions,5398,Fun
399,1586,Indoor Rock Climbing Gyms,5399,Fun
400,1584,Intellectual Property Rights,5400,Awarness
401,1583,Interior Designers' Alliance,5401,Arts
402,1582,Internet of Things (IoT) Pioneers,5402,Computer Science
403,1581,Intimacy and Sexuality,5403,Awarness
404,1581,Investment Insights,5404,Bussiness
405,1580,IoT Connectors,5405,Computer Science
406,1579,Islamic Faith Community,5406,Religious
407,577,Italian Language Immersion,5407,Extracurricular
408,1576,Japanese Language Study,5408,Extracurricular
409,1576,Jazz Aficionados,5409,Music
410,1574,Jazz and Blues Lovers,5410,Music
411,1572,Jewish Heritage Network,5411,Religious
412,1571,Journaling Journey,5412,Arts
413,1571,Kayaking and Canoeing,5413,Sports
414,1569,Kiteboarding and Windsurfing,5414,Sports
415,1569,Kitesurfing and Windsurfing,5415,Sports
416,1566,Kitesurfing Competitions,5416,Sports
417,1566,Kitesurfing Competitions and Festivals,5417,Sports
418,1565,Knitting and Crocheting,5418,Arts
419,1565,Knowledge Seekers,5419,Knowledge
420,1564,Language and Culture Exchange,5420,Extracurricular
421,1560,Language Enthusiasts,5421,Extracurricular
422,1560,Language Exchange,5422,Extracurricular
423,1559,Language Exchange Group,5423,Extracurricular
424,1559,Language Exchange Program,5424,Extracurricular
425,559,Language Exchange Programs,5425,Extracurricular
426,1557,Language Learners,5426,Extracurricular
427,1556,Language Learners Club,5427,Extracurricular
428,1556,Language Learning App,5428,Computer Science
429,1556,Language Learning Meetups,5429,Extracurricular
430,1556,Law School Applicants,5430,Knowledge
431,1555,Leadership Development,5431,Knowledge
432,1554,Legal Advice Group,5432,Bussiness
433,1552,Legal Professionals Network,5433,Bussiness
434,1551,LGBTQ+ Community,5434,Awarness
435,1551,LGBTQ+ Rights Advocacy,5435,Volunteers
436,1551,LGBTQ+ Support Group,5436,Volunteers
437,1550,LGBTQ+ Support Network,5437,Volunteers
438,1550,Lifelong Learners,5438,Knowledge
439,1549,Literary Critique Group,5439,Arts
440,1545,Literary Gems,5440,Knowledge
441,1544,Live Music Concerts,5441,Music
442,1544,Live Music Festivals,5442,Music
443,1544,Live Music Jam Sessions,5443,Music
444,1544,Live Music Jams,5444,Music
445,1544,Live Music Open Mic Nights,5445,Music
446,1541,Live Music Performances,5446,Music
447,1540,Live Music Showcases,5447,Music
448,1537,Local Business Support,5448,Bussiness
449,1537,Long-Distance Relationships,5449,Awarness
450,1537,Lord of the Rings Fandom,5450,Fun
451,1535,Love and Relationships,5451,Awarness
452,1534,Magic and Illusion,5452,Arts
453,1533,Magic Performance Shows,5453,Arts
454,1532,Magic Tricks and Illusions,5454,Arts
455,1530,Magic Tricks Workshops,5455,Arts
456,1529,Magic Tricks Workshops and Performances,5456,Arts
457,1528,Makeup Addicts,5457,LifeStyle
458,1528,Makeup and Beauty,5458,LifeStyle
459,1527,Mandarin Chinese Learners,5459,Extracurricular
460,1527,Marathon Runners Club,5460,Sports
461,1527,Marathon Running Events,5461,Sports
462,1526,Marathon Training Group,5462,Sports
463,1523,Marathon Training Programs,5463,Sports
464,1521,Marketing Geniuses,5464,Bussiness
465,1520,Marriage and Family Counseling,5465,Awarness
466,1519,Martial Arts Masters,5466,Sports
467,1519,Marvel vs. DC Debate,5467,Entertainment
468,1519,Math Wizards,5468,Knowledge
469,1518,Mediation and Arbitration,5469,Spiritual
470,1517,Meditation and Mindfulness,5470,Spiritual
471,1517,Meditation Retreats,5471,Spiritual
472,1516,Men's Fashion Club,5472,LifeStyle
473,1516,Mental Health Awareness,5473,Spiritual
474,1513,Mental Health Support,5474,Spiritual
475,1513,Mental Health Support Groups,5475,Volunteers
476,1512,Mind-Body Connection Practices,5476,Spiritual
477,1512,Mindful Living Community,5477,Spiritual
478,1511,Mindfulness Meditation Retreats,5478,Spiritual
479,1510,Mindfulness Meditation Workshops,5479,Spiritual
480,1510,Mindfulness Tribe,5480,Spiritual
481,1509,Mixologists and Bartenders,5481,Food
482,1508,Mixology Competitions,5482,Food
483,1506,Mixology Workshops,5483,Food
484,1504,Mixology Workshops and Cocktail Competitions,5484,Food
485,1503,Mobile App Developers,5485,Computer Science
486,1503,Mobile App Development Courses,5486,Computer Science
487,1502,Mobile Game Designers,5487,Computer Science
488,1502,Mobile Game Developers,5488,Computer Science
489,1501,Model Building Club,5489,LifeStyle
490,1501,Model Train Enthusiasts,5490,LifeStyle
491,1499,Mommy and Me,5491,Awarness
492,1498,Moon Phases Observers,5492,Astronomy
493,1497,Motivational Speakers,5493,Arts
494,1497,Motor Racing Enthusiasts,5494,Sports
495,1496,Motorbike Customization,5495,Automobiles
496,1494,Motorbike Riders Club,5496,Sports
497,1493,Motorbike Riding Skills,5497,Sports
498,1492,Motorbike Riding Skills Training,5498,Sports
